datapath   port   port-speed(B/s)
01          1        5823.4
01          2          59.9
01          3        3515.0
01          4        1377.2
01          5        2697.6
01          6        1757.5

02          1        3522.0
02          2        3147.0

03          1        3143.9
03          2        2826.2

04          1        2705.7
04          2        2264.3

05          1        2264.3
05          2        1699.7

06          1        1638.3
06          2        1382.8

07          1        2829.0
07          2        1380.0
07          3        1380.0
07          4        1380.0
07          5          60.0

08          1        1761.0
08          2        1380.0

datapath   port   port-speed(B/s)
01          1       53027.0
01          2          59.9
01          3       49394.6
01          4        1378.6
01          5        3143.9
01          6        2008.0

02          1       49345.3
02          2       48842.3

03          1       48891.1
03          2       48534.5

04          1        3140.7
04          2        2574.9

05          1        2574.9
05          2        2006.0

06          1        2004.0
06          2        1375.9

07          1       48534.5
07          2        1378.6
07          3        1378.6
07          4        1378.6
07          5       45780.2

08          1        2004.0
08          2        1375.9

datapath   port   port-speed(B/s)
01          1      426516.5
01          2          59.8
01          3      319531.4
01          4        1375.9
01          5        3260.2
01          6        2073.8

02          1      322163.3
02          2      283060.8

03          1      283343.0
03          2      246759.0

04          1        3253.7
04          2        2696.5

05          1        2696.5
05          2        2000.0

06          1        2002.0
06          2        1314.7

07          1      246759.0
07          2        1374.5
07          3        1314.7
07          4        1252.0
07          5      229205.2

08          1        2069.7
08          2        1250.7

datapath   port   port-speed(B/s)
01          1      1065310.0
01          2           0.0
01          3      737835.2
01          4        1380.0
01          5        3207.0
01          6        2010.0

02          1      735611.0
02          2      737662.0

03          1      736925.1
03          2      734805.0

04          1        3210.2
04          2        2579.6

05          1        2579.6
05          2        2012.0

06          1        2012.0
06          2        1321.3

07          1      737767.0
07          2        1380.0
07          3        1320.0
07          4        1380.0
07          5      733232.0

08          1        2014.0
08          2        1382.8

datapath   port   port-speed(B/s)
01          1      1090945.1
01          2          59.9
01          3      754434.0
01          4        1388.6
01          5        3266.7
01          6        2015.0

02          1      753680.3
02          2      753236.8

03          1      753236.8
03          2      755566.4

04          1        3266.7
04          2        2637.4

05          1        2637.4
05          2        1948.1

06          1        1948.1
06          2        1378.6

07          1      752607.4
07          2        1388.6
07          3        1378.6
07          4        1318.7
07          5      750913.1

08          1        2015.0
08          2        1318.7

datapath   port   port-speed(B/s)
01          1      796742.5
01          2          59.9
01          3      752931.1
01          4        1317.4
01          5        3263.5
01          6        2006.0

02          1      753683.3
02          2      756327.7

03          1      753302.7
03          2      752673.3

04          1        3266.7
04          2        2577.4

05          1        2577.4
05          2        2008.0

06          1        2008.0
06          2        1378.6

07          1      752673.3
07          2        1318.7
07          3        1378.6
07          4        1378.6
07          5      751045.0

08          1        2008.0
08          2        1378.6

datapath   port   port-speed(B/s)
01          1      797023.0
01          2          60.0
01          3      754758.0
01          4        1380.0
01          5        3210.0
01          6        1950.0

02          1      756963.0
02          2      753434.6

03          1      756459.5
03          2      752805.2

04          1        3206.8
04          2        2637.4

05          1        2637.4
05          2        2008.0

06          1        2008.0
06          2        1378.6

07          1      752871.1
07          2        1378.6
07          3        1378.6
07          4        1378.6
07          5      749598.4

08          1        1948.1
08          2        1378.6

datapath   port   port-speed(B/s)
01          1      791626.4
01          2          59.9
01          3      756564.4
