datapath   port   port-speed(B/s)
01          1          60.0
01          2          60.0
01          3        1254.0
01          4        1380.0
01          5        1380.0
01          6        1317.0

02          1        1254.0
02          2        1317.0

03          1        1315.7
03          2        1315.7

04          1        1381.4
04          2        1321.3

05          1        1321.3
05          2        1321.3

06          1        1322.6
06          2        1382.8

07          1        1317.0
07          2        1381.4
07          3        1381.4
07          4        1320.0
07          5          60.0

08          1        1317.0
08          2        1320.0

datapath   port   port-speed(B/s)
01          1        4996.0
01          2          59.8
01          3        2256.0
01          4        2005.0
01          5        2441.2
01          6        1688.2

02          1        2256.0
02          2        1876.5

03          1        1876.5
03          2        1500.0

04          1        2438.8
04          2        2003.0

05          1        2003.0
05          2        1686.6

06          1        1684.9
06          2        1371.8

07          1        1498.5
07          2        2003.0
07          3        1373.1
07          4        1373.1
07          5          59.7

08          1        1688.2
08          2        1374.5

datapath   port   port-speed(B/s)
01          1        8204.4
01          2          59.8
01          3        2629.5
01          4        3260.2
01          5        3260.2
01          6        1941.2

02          1        2629.5
02          2        2002.0

03          1        2004.0
03          2        1375.9

04          1        3260.2
04          2        2632.1

05          1        2629.5
05          2        1942.2

06          1        1944.2
06          2        1316.1

07          1        1375.9
07          2        3260.2
07          3        1316.1
07          4        1375.9
07          5           0.0

08          1        1941.2
08          2        1375.9

datapath   port   port-speed(B/s)
01          1        7948.2
01          2           0.0
01          3        2632.1
01          4        3012.0
01          5        3134.5
01          6        2002.0

02          1        2632.1
02          2        2004.0

03          1        2004.0
03          2        1375.9

04          1        3134.5
04          2        2566.7

05          1        2569.3
05          2        2004.0

06          1        2002.0
06          2        1374.5

07          1        1375.9
07          2        3012.0
07          3        1375.9
07          4        1375.9
07          5          59.8

08          1        2004.0
08          2        1375.9

datapath   port   port-speed(B/s)
01          1        8016.0
01          2          59.8
01          3        2632.1
01          4        3068.7
01          5        3260.2
01          6        1944.2

02          1        2632.1
02          2        1944.2

03          1        1944.2
03          2        1316.1

04          1        3260.2
04          2        2632.1

05          1        2632.1
05          2        2004.0

06          1        2004.0
06          2        1375.9

07          1        1316.1
07          2        3071.8
07          3        1375.9
07          4        1375.9
07          5          59.8

08          1        1942.2
08          2        1374.5

